JB4870E,GL4660E,JB2851E,GL3907E,JB2669E,JB2906E,JB1996E,GL4440E,JB3189E,JB2636E,JB3067E,JB2865E,GL4080E,JB2344E,GL3736E,JB5096E,JB2665E,JB2445E,JB3426E,JB3110E,JB2024E,JB5049E,GL4627E,JB4916E,JB5043E,JB3058E,JB1995E,GL3694E,GL4415E,GL4668E,GL4431E,JB5227E,GL3542E,JB2962E,JB2361E,JB3436E,GL4254E,JB2109E,JB1866E,JB4618E,GL4472E,JB2557E,GL4064E,JB1883E,JB3197E,GL3686E,JB5017E,GL4282E,JB2070E,JB1602E,JB2341E,GL3816E,JB2091E,JB2750E,JB2907E,JB2630E,GL3529E,JB2471E,GL4590E,JB1596E,JB3020E,JB1437E,GL4366E,GL4666E,JB1245E,JB5142E,JB2373E,JB5240E,GL3934E,GL3709E,JB3012E,JB2684E,GL4300E,JB5221E,JB3329E,JB4933E,JB2651E,JB3390E,JB2446E,GL3898E,JB2620E,JB1722E,JB2260E,JB5000E,GL4530E,JB1705E,JB1905E,JB1521E,JB1914E,JB1677E,JB5294E,JB1394E,JB1603E,JB1533E,JB5273E,JB5307E
5.354213644,5.321010007,5.451322797,5.427541277,5.394542802,5.215124396,5.347929805,5.311084114,5.376607866,5.416229229,5.34883065,5.321603933,5.613739594,5.473852941,5.397378271,5.24190753,5.383135444,5.155852036,5.28539991,5.098423365,5.255387828,5.059958754,5.194795199,5.167362477,5.210336191,5.116778832,5.261442683,5.199010301,5.217769671,5.036153742,5.309318433,5.181676204,5.343926463,5.309156167,5.184090452,5.121134817,5.373097795,5.431339218,5.282260083,5.167422301,5.450494361,5.28306769,5.307519183,5.164537033,5.338419303,5.235752098,5.361776044,5.222739901,4.972425179,5.02063253,5.013198603,5.081690892,5.133598739,5.046875275,5.033578575,5.193066703,5.109735061,5.195098299,5.080363718,5.048162227,5.185834014,5.189221673,5.178514014,5.097443292,5.37198054,5.295323245,5.314039715,5.177264992,5.403340555,5.254956477,5.295930528,5.243435059,5.331594413,5.220929344,5.327317934,5.365284428,5.366798946,5.24075816,5.290227421,5.394097771,5.30803934,5.278052473,5.292225066,5.211600091,5.482166859,5.512304569,5.450015564,5.195794521,5.428160864,5.452938361,5.47696864,5.38978834,5.416683167,5.236029479,5.238683088,5.304939699
5.223615259,5.203750825,5.361069606,5.323223996,5.252295858,5.071991289,5.235141585,5.240248664,5.306773478,5.316408973,5.244686572,5.290228261,5.394677717,5.335712704,5.2970304,5.238649301,5.282361312,5.04966521,5.277379156,5.004596314,5.124956409,5.002747066,5.116520385,5.052073691,5.183914466,5.061275962,5.158925662,5.295852328,5.13529005,5.021279078,5.18476283,5.142540128,5.298779594,5.194539538,5.200105813,5.105032408,5.280388662,5.267217885,5.228549835,5.161988948,5.285140022,5.227007967,5.371960703,5.101374958,5.210902729,5.26207886,5.19717361,5.140780086,4.915779157,4.869242985,5.010497487,5.014204827,5.03998504,4.928479112,4.996623771,5.029813731,5.041371444,5.153475387,5.073004079,4.968694793,5.113751457,5.149421858,5.12695464,5.023525546,5.318917849,5.235243329,5.257078218,5.286858551,5.27624234,5.159263077,5.168371606,5.18608864,5.264071712,5.205700679,5.344810514,5.33040057,5.331506175,5.149502203,5.254977624,5.293177801,5.214420048,5.164591265,5.198483932,5.171567179,5.398926014,5.399362859,5.331769489,5.186408662,5.363038327,5.312412093,5.373249349,5.29515835,5.336661073,5.150905446,5.054652272,5.222367037
5.385427578,5.378682638,5.489901772,5.344061402,5.36230903,5.177594125,5.238608514,5.364933853,5.451375277,5.506704228,5.541129364,5.345756873,5.605974643,5.472615906,5.424986854,5.235787106,5.42464594,5.242846537,5.35517471,5.129302643,5.193033522,5.104840656,5.301201882,5.185617847,5.349552461,5.245793017,5.207910602,5.304226197,5.35738563,5.139850548,5.292159009,5.320277923,5.413664232,5.379797609,5.291837563,5.310243055,5.326925317,5.409006974,5.2922115,5.227895105,5.387263155,5.377206467,5.568665352,5.164118505,5.331504185,5.403782011,5.340760076,5.255539851,5.032990068,5.017152622,5.026831409,5.065009504,5.255802212,5.127213168,5.130264746,5.142006624,5.13968629,5.169845561,5.222097734,5.107668797,5.1917177,5.250296058,5.225331072,5.11524493,5.52082433,5.302363217,5.41621047,5.328837254,5.397604627,5.273082991,5.360024839,5.285325406,5.300719878,5.276939344,5.467882478,5.420530332,5.440174349,5.264894363,5.330508745,5.419967323,5.347697664,5.313080757,5.25293159,5.199008043,5.503493375,5.555969341,5.491162283,5.281931411,5.466107361,5.418483335,5.493783234,5.41026794,5.41875934,5.26544954,5.208059911,5.332062592
5.444752035,5.292724401,5.492167181,5.49900555,5.45038784,5.358357371,5.251294411,5.31667889,5.46519557,5.654022524,5.4306141,5.406236763,5.681704421,5.452401973,5.68609003,5.290365095,5.486138813,5.199886564,5.332393692,5.122823087,5.239153967,5.08069235,5.261770751,5.192412503,5.308476353,5.264781618,5.200071538,5.242894264,5.41302935,5.130180463,5.399189786,5.290131441,5.473297927,5.321586029,5.292430273,5.218207851,5.364668828,5.416919206,5.328583426,5.24128715,5.429613615,5.378646257,5.425813495,5.173853866,5.410869597,5.284485651,5.368235923,5.284388753,4.962181825,5.001602728,5.093907557,5.014887545,5.210919552,5.048378497,5.135413523,5.136016473,5.146200292,5.143264765,5.114805633,5.032420186,5.250133083,5.189474965,5.21035955,5.098197234,5.434301971,5.265058913,5.3726011,5.265041698,5.424144614,5.222871384,5.306337559,5.213447702,5.336515094,5.279714534,5.416567457,5.386381154,5.370961637,5.251236289,5.295025066,5.466719587,5.320474425,5.295658933,5.234858972,5.14721713,5.568547189,5.522594398,5.477269284,5.288835234,5.481630076,5.472926009,5.5093083,5.386450347,5.419818391,5.283591706,5.23309051,5.348103471
5.307179137,5.275330521,5.410393135,5.382162639,5.321516675,5.090350083,5.283980596,5.312128323,5.340372709,5.363914246,5.331651836,5.318587358,5.506274192,5.398006225,5.389113099,5.279492995,5.301259399,5.039686581,5.320083595,5.044484533,5.181838656,4.950903439,5.183321898,5.065890499,5.200396718,5.095464238,5.241539136,5.235214095,5.235287591,5.027996198,5.234976875,5.163666555,5.401351306,5.190997053,5.204098509,5.135568671,5.299388222,5.279913289,5.276986247,5.107404003,5.313676587,5.240624314,5.382092757,5.133715833,5.280074764,5.206388229,5.319073658,5.183685872,4.903036798,4.91858492,5.070427005,5.04589519,5.045481937,4.91222383,5.100078132,5.04240467,5.069950124,5.011153149,5.109971791,4.915529177,5.191488213,5.124402509,5.185243509,5.050540213,5.312961605,5.175799254,5.265604986,5.167502868,5.323216533,5.267592299,5.213731256,5.166844096,5.33400378,5.201260918,5.388758889,5.341287319,5.35387026,5.187168476,5.352765585,5.37627758,5.300696824,5.207716015,5.130249242,5.13489274,5.4807602,5.474160235,5.388826238,5.211900666,5.402500651,5.356655865,5.444703109,5.350335729,5.336823304,5.168458361,5.220399292,5.206736677
7.98979087,8.345323509,8.33713145,7.246617792,7.804794888,7.023656001,7.464940417,8.344303668,7.373009816,7.395564964,8.150364572,7.606250443,7.645203592,7.64044371,6.850323532,7.000756114,7.465704694,6.632751134,8.405174875,8.635627687,7.867777817,6.662445894,6.425141157,6.039599293,6.659579946,6.983840056,8.191431234,8.432469975,8.312069019,6.563161137,8.40473457,6.771162111,8.112764758,7.270348659,7.583763222,6.884817275,7.5490792,7.666064126,7.611862828,8.447234624,7.432866368,6.992161714,8.036295749,7.420084945,7.603708441,7.635931615,7.430477911,6.78468578,6.231126309,6.6202892,6.608673462,7.144521115,6.372416067,6.151629647,5.363308969,6.165098404,6.994717043,6.016173529,6.268007481,6.674494276,6.780858876,6.81331357,6.819681913,6.910984746,6.643632496,6.648057562,5.865490777,5.567063932,6.325132855,6.600836345,6.922599732,6.623771163,6.912440225,6.447967831,6.748092244,7.245274997,6.594314774,6.417206211,6.261723673,7.305372122,6.323661462,7.065649397,6.684349376,6.175745111,6.917864733,6.860379758,6.200958899,6.085069806,6.913653884,6.395197574,6.629633777,6.397010926,7.057243867,7.047059467,6.775857756,6.38106629
5.336649684,5.453005382,5.645968347,5.39457265,5.414858339,5.251365605,5.306934557,5.411838343,5.437341387,5.454663956,5.483769896,5.387399733,5.616866064,5.440121677,5.438590112,5.315745897,5.400457872,5.19783092,5.305665404,5.170394517,5.286292702,5.100806961,5.298350685,5.168058707,5.357957177,5.201168725,5.187908454,5.457598101,5.31172571,5.142874489,5.410547632,5.300487477,5.458985362,5.345912412,5.243322053,5.343050321,5.380533497,5.413151794,5.343346368,5.204630364,5.374827341,5.342657524,5.497555433,5.108590856,5.400468217,5.465557323,5.356235858,5.227553299,4.945496662,4.967352801,5.041386794,5.084967735,5.187063735,5.17132166,5.08353155,5.13787981,5.109751044,5.207331045,5.131189618,5.082081431,5.172075185,5.226057634,5.186805068,5.077469757,5.418389342,5.266192195,5.342831198,5.291921834,5.348291655,5.245113124,5.34854635,5.255178406,5.323861909,5.239253373,5.412636298,5.399563711,5.391496705,5.233114326,5.382839886,5.368151266,5.316808424,5.324442324,5.27303887,5.26136339,5.560511404,5.547686205,5.53327991,5.30711405,5.551603673,5.481854275,5.487767895,5.386491284,5.416712603,5.265248868,5.208132831,5.281575539
6.141427186,6.278244718,6.416899595,6.018221329,6.130187361,5.774718031,5.793027221,6.103159697,5.92210067,6.069811269,5.875223343,5.907453798,6.103817872,6.116313714,6.013950544,6.004338167,5.979301873,5.71875028,6.380825921,5.625470955,5.96814019,5.662070918,5.74768576,5.695872,5.887531476,5.7575479,5.778887342,6.380939214,6.036619387,5.568210824,5.984791254,5.770387782,6.085498202,5.856873347,5.770934419,5.829531431,5.877345126,5.942006155,5.853371951,5.728543853,5.845392232,5.952498995,6.12627414,5.914905093,5.897249583,6.152169914,5.855254837,5.766294275,5.458378012,5.342319885,5.574276425,5.496093052,5.621082351,5.532033929,5.361312371,5.513546618,5.606140118,5.563379622,5.433511632,5.455494435,5.625836374,5.803151823,5.593014436,5.54559004,5.855663982,5.649901194,5.79745716,5.581490719,5.815128743,5.623985512,5.793657533,5.607587831,5.852814446,5.637130273,5.812638145,5.941811913,5.726966342,5.593388278,5.735228863,5.578284266,5.72236654,5.821064371,5.643509444,5.583781248,5.988365761,5.892770852,5.711213611,5.50954529,5.844382219,5.810061977,5.798405128,5.792231819,5.868330697,5.751170694,5.736875035,5.701121931
5.927171527,5.940073689,6.217308634,5.903649946,5.926206426,5.950474798,5.791565371,5.936905677,5.979505425,6.117515161,6.230663193,5.791627382,6.332888539,6.056618688,7.300911055,5.775016798,6.102698305,5.705170278,5.881916071,5.953000114,5.867689032,5.666861952,5.865439727,5.643520541,5.94605631,5.857227346,5.725208022,5.960805053,6.1342618,5.705806965,5.972041726,6.015053084,5.959448967,5.815843723,5.69358908,5.742579177,5.797875281,6.035874841,5.823067248,5.752689029,5.888667498,6.037903042,6.357579574,5.776159708,5.855064477,5.955263613,6.123656766,5.839686216,5.572648792,5.583459168,5.60293809,5.599179984,5.824971833,5.880948783,5.653023505,5.727581336,5.577627637,5.75141187,5.610130604,5.604328755,5.754795653,5.732298254,5.644496044,5.572213238,6.131673022,5.651614198,5.949542999,5.738145533,5.930709204,5.811834464,6.045928325,5.892754745,5.792499267,5.717961081,5.912293931,6.013333901,5.980216676,5.808741369,5.81333607,5.776579069,5.826185745,5.819875861,5.686171014,5.792008009,6.315071494,6.089055376,6.131399556,5.832025463,6.021857301,5.904561817,6.043330013,6.086492006,5.919392514,5.782547116,5.848021999,5.892112813
5.678822221,5.302095661,5.42558749,5.361803262,5.28698335,5.097367337,5.384221058,5.334283213,5.36366948,5.428915513,5.319776445,5.307595684,5.457931005,5.396029653,5.401937046,5.278550184,5.309189928,5.070029925,5.332369552,5.057988265,5.150403691,5.012515045,5.19900368,5.109494752,5.228279251,5.116561498,5.196752282,5.319630757,5.209896371,5.031009045,5.298255953,5.2213653,5.365677999,5.274030159,5.220375568,5.154809228,5.324267855,5.277513506,5.26711887,5.153226202,5.316687109,5.237587963,5.321105952,5.104067511,5.300239678,5.192510152,5.315195952,5.202471738,4.890775178,4.908093152,5.040812426,5.07512628,5.096499967,4.983516157,5.074465121,5.073151295,5.055266517,5.072085772,5.067066196,5.065237892,5.122875457,5.120100973,5.168557554,5.069036653,5.32852768,5.243878176,5.34894049,5.17875161,5.359884053,5.194125182,5.277184162,5.19873327,5.222696304,5.265113507,5.356504728,5.399147067,5.332865389,5.213598103,5.337335737,5.422352851,5.285401239,5.285831191,5.211831055,5.119681957,5.420308689,5.476555273,5.405310828,5.224154249,5.410293685,5.363650986,5.460902045,5.325255097,5.394780769,5.20861503,5.183218284,5.242676868
5.402059091,5.312662284,5.572082592,5.351297739,5.394380494,5.209414172,5.290590294,5.294567851,5.389536575,5.51824939,5.32268524,5.311014797,5.525471781,5.45975762,5.380925093,5.305411888,5.40165632,5.181324824,5.353114829,5.119298518,5.298792225,5.129279864,5.235432356,5.166820908,5.21403405,5.131364034,5.215768831,5.306517901,5.170962409,5.125804814,5.220437016,5.154920546,5.439434465,5.288478394,5.239247881,5.218759949,5.324394698,5.39703742,5.271136699,5.264548654,5.343203218,5.291541323,5.337555565,5.146035332,5.352361308,5.335002137,5.351958315,5.223229166,4.963290438,4.954566722,5.067264056,5.013202829,5.179008122,4.996375288,4.989765861,5.089522507,5.098276794,5.078038471,5.130875574,5.021306995,5.127924875,5.133265739,5.179890942,5.12223382,5.349873024,5.256754887,5.298949851,5.169268322,5.351139952,5.228994883,5.254196849,5.173101714,5.341558189,5.235512297,5.350350884,5.402264118,5.362709372,5.263935106,5.25488585,5.45131149,5.277269542,5.236127557,5.285487105,5.141013348,5.41760744,5.540075003,5.384083719,5.181548265,5.427734057,5.443076958,5.433069396,5.293012063,5.410609855,5.194467773,5.203238994,5.251606196
5.330717575,5.315202105,5.456378402,5.381346368,5.379566555,5.166192413,5.158697737,5.276124405,5.40165538,5.456305455,5.284541524,5.318645478,5.448210155,5.410521905,5.251454764,5.307273318,5.40475465,5.18160669,5.321088924,5.07749767,5.190306694,4.98418647,5.208502043,5.139064233,5.21987672,5.154818109,5.159636855,5.219393525,5.243173983,5.151681066,5.197333874,5.166277188,5.402665224,5.28077077,5.227902384,5.120206353,5.348522445,5.37428347,5.247064296,5.120422862,5.332791343,5.305902688,5.389042225,5.137325225,5.329286877,5.232478106,5.259631044,5.227144963,4.990748422,4.98418647,5.04737174,5.052321114,5.156175729,5.02764286,5.117902789,5.042310763,5.17990909,5.090490594,5.093637498,5.003216777,5.176588865,5.128252152,5.179476416,5.075678091,5.409785671,5.218707559,5.263213229,5.352745815,5.290677266,5.272477507,5.189824559,5.226068024,5.367338563,5.179004187,5.259101086,5.372206884,5.366322214,5.191141356,5.247064296,5.346874295,5.306387296,5.262094845,5.187352073,5.181065568,5.478145739,5.508900177,5.406625101,5.261111034,5.390823116,5.42091722,5.43693303,5.316178695,5.402098297,5.234944622,5.232160331,5.319409477
10.47052613,10.86884631,11.12757443,9.895859636,10.25649164,9.80054986,11.92392768,10.88357379,8.627169258,10.51310029,10.03898983,10.36567719,9.380759345,9.994996954,8.630460673,9.974778477,10.29021157,9.472198408,11.16556264,10.50098302,11.49518889,9.88357458,10.12367637,9.590172321,8.554834538,8.768020205,9.978918542,10.70355171,9.852475411,9.648961116,9.812779821,8.560349698,11.18425541,9.926596206,9.337690874,10.31915304,9.635958051,9.721774191,9.720376643,9.639651088,9.243988711,9.291519644,10.23160637,9.691985763,9.259652952,10.45005384,9.824189037,9.993533991,9.447326165,8.973774232,10.14805706,8.331166195,9.277964813,9.480836735,7.591339398,8.697827612,8.97724964,7.850398929,8.735732741,8.991457498,8.775206674,8.167630527,9.228612084,9.986028203,7.845052405,9.483907357,9.211427194,6.20108666,9.640920516,8.9310165,9.02535293,8.799100209,9.961236684,9.401519402,11.00869049,9.392834771,9.257689524,9.669745959,10.61999965,9.058992662,9.222240628,8.786233159,9.905453399,9.664461145,10.42401558,9.804530882,9.523493627,10.24476999,9.354757378,9.97213504,9.813588778,10.15993244,9.695843457,9.95938839,9.839582691,9.276117747
13.63073414,13.54202838,14.47987361,12.82856845,13.23245932,14.1848679,7.021661637,13.31081545,11.41460746,12.43182228,13.19805071,12.64964939,14.1930995,13.6071371,12.14658787,13.14038019,12.93863463,13.06756342,12.25336399,13.92666374,13.98378521,13.19272436,14.05564034,11.71353416,12.20879756,11.68831238,12.99386913,13.87840879,13.39602954,13.1224949,12.36673406,12.68325618,13.16402796,12.62030405,13.19224359,13.16901649,12.13829355,12.83177098,13.04760922,12.78996887,12.51994146,12.46413704,13.80010918,12.26603463,11.58685259,13.50231682,13.70088756,13.15622839,11.21501218,11.90505605,12.93468491,12.00094941,11.83038216,11.82915208,11.31590785,11.6278933,11.95273335,11.77628132,11.78272965,12.46229995,12.30333479,12.48156228,11.66847606,12.3401125,11.50280374,12.00206853,12.03786331,9.03013723,12.80189638,11.09853365,11.44032337,12.30299159,13.61797802,11.91563759,10.63818829,13.75528666,11.30852559,12.29898878,13.54252483,11.62412671,11.87176664,12.0444076,13.75771532,12.21744467,13.52756527,12.78815546,11.63612498,10.1422603,12.26409492,11.44438557,12.23515095,11.72218917,13.19820316,12.72044698,12.48872812,11.21854029
