JB5011V,JB5143V,JB3905V,JB4899V,JB4577V,JB3137V,JB4453V,JB4189V,JB4743V,JB3979V,JB4676V,JB4833V,JB3172V,JB4029V,JB2466V,JB4060V,JB4998V,JB1535V,JB4160V,JB4715V,JB4878V,JB5014V,GL4371V,GL3576V,GL3599V,JB4674V,JB4757V,JB3025V,JB4234V,JB4548V,JB4649V,JB4752V,JB5019V,JB4304V,JB4531V,JB4196V,JB3663V,JB2133V,JB4314V,JB4684V,JB5242V,GL4490V,JB4388V,JB4079V,JB1654V,JB4419V,JB5153V,JB4589V,JB4889V,JB5234V,JB4860V,JB3441V,JB5141V,JB4077V,JB3434V,JB5150V,GL4200V,JB2299V,GL4226V,GL3623V,JB3838V,JB3457V,JB2025V,GL3500V,JB3820V,GL3520V,JB3669V,JB4960V,JB4345V,JB4744V,GL5113V,JB4952V,GL3793V,JB5068V,JB3063V,JB3437V,JB5223V,GL3597V,JB4696V,JB4450V,JB4962V,JB4561V,JB4650V,JB4912V,JB2737V,GL3632V,JB4900V,JB3309V,JB4534V,JB1989V,JB5051V,GL3537V,JB4442V,GL4487V,JB4387V,JB4448V
5.438578741,5.46191329,5.385285551,5.296858043,5.376799218,5.373776018,5.317024047,5.18029882,5.406861924,5.325110155,5.347276155,5.383207513,5.315964281,5.223634555,5.342844461,5.701461645,5.23885663,5.155658475,5.305257355,5.160787824,5.150669171,5.095341687,5.237743768,5.148683657,5.288424132,5.304058458,5.141494292,5.140438006,5.221313648,5.20874463,5.242304008,5.146889427,5.49539097,5.147210399,5.160722027,5.189209974,5.314654365,5.19809993,5.279278636,5.337299583,5.330753368,5.178609052,5.376181501,5.29864997,5.37289193,5.225102868,5.29076105,5.101675649,5.15758735,4.994324936,5.051662184,5.008294404,5.139810623,4.955878711,5.159161063,5.090178383,5.099936053,5.065727354,5.138706434,5.155125158,5.067366712,5.086070397,5.179427427,5.131940488,5.4064423,5.185208701,5.255939035,5.335574454,5.362158592,5.266203563,5.447397112,5.196756158,5.408310646,5.450994407,5.346402481,5.262636876,5.362963003,5.350961361,5.366713619,5.205674205,5.254809878,5.213743254,5.289136328,5.25551146,5.907222226,5.435357416,5.455519015,5.437373177,5.390743931,5.314790624,5.421939297,5.331996492,5.399316215,5.336312485,6.126979341,5.258853932
5.359348332,5.257165231,5.317210867,5.217543461,5.333559472,5.223260894,5.346048926,5.196044689,5.269179128,5.302606762,5.326237875,5.344479919,5.335735844,5.270047146,5.232999167,5.460245816,5.180431971,5.09247063,5.221394288,5.112576419,5.126825222,5.030207596,5.157606208,5.021822876,5.176381308,5.277379299,5.162595152,5.055716713,5.083486468,5.048857484,5.200103498,5.060622036,5.354765144,5.143611329,5.307531881,5.200198096,5.206919488,5.145018086,5.238611591,5.254718448,5.251965681,5.124857642,5.356018319,5.223292797,5.239235356,5.170477363,5.265373182,5.031835079,5.026831409,4.964491605,4.994075729,4.896702997,5.055245548,4.933420013,5.122433058,4.973653657,5.074170121,5.154531758,5.090045516,5.050530795,5.056491196,4.97221833,5.183547159,5.074016489,5.29220466,5.161376014,5.240480106,5.262838258,5.23674093,5.127233096,5.301202739,5.137574197,5.475104063,5.361057909,5.294260028,5.186715417,5.263651995,5.238066478,5.41915596,5.196479689,5.244216553,5.202979844,6.701407289,5.140587188,5.560665535,5.325768413,5.378036993,5.448537288,5.33032842,5.307168416,5.212703798,5.230006971,5.32009592,5.292597721,5.593479781,5.120796342
5.460174428,5.475559101,5.414421399,5.322334359,5.373849821,5.243173919,5.365983095,5.260295987,5.462782128,5.383277797,5.420465185,5.448553622,5.462095516,5.323508852,5.398478832,5.697334717,5.289749784,5.266212743,5.475251923,5.205214139,5.156228311,5.148490524,5.294590513,5.174255055,5.257701315,5.43080404,5.269656069,5.224497919,5.244204674,5.195276323,5.293264438,5.08457601,5.484497168,5.253202074,5.336584073,5.327956433,5.268066356,5.293289396,5.407812203,5.350940348,5.437571911,5.253559882,5.468900818,5.290882944,5.372038495,5.342413676,5.363392849,5.121877335,5.167123747,5.06246508,5.048706934,4.99327429,5.18747165,5.054305,5.185365163,5.088231566,5.174180118,5.226263346,5.185512569,5.158595903,5.1257175,5.167161011,5.333897551,5.207166926,5.404565668,5.144860881,5.279347583,5.409526,5.385137726,5.29042055,5.513419405,5.215576605,5.513791327,5.462692617,5.520013166,5.304195723,5.347982807,5.422450565,5.447124153,5.249830812,5.318637485,5.202444587,5.957010749,5.359206835,5.819581881,5.385331979,5.452393282,5.530433401,5.49228502,5.352824079,5.481616824,5.301357988,5.42046313,5.334872913,6.125753727,5.324798731
5.413856652,5.63838574,5.412607516,5.302848585,5.437994751,5.266253838,5.430526341,5.221617896,5.43614348,5.391935695,5.338846981,5.280016091,5.467502626,5.354989432,5.434970539,5.978799824,5.289268202,5.172306522,5.414148716,5.187180966,5.205767128,5.176414525,5.27626166,5.08676922,5.321887985,5.409775609,5.305300915,5.187999729,5.260808243,5.122547936,5.286218152,5.131725513,5.622836901,5.259257855,5.304458556,5.244968092,5.32966906,5.297100811,5.330409575,5.365594889,5.470578948,5.259144576,5.439466697,5.369137945,5.32892591,5.284392667,5.341575479,5.134145865,5.094877296,5.120774956,5.103472813,4.969086654,5.14160412,5.012895387,5.206662794,5.067980062,5.157117006,5.059713184,5.304215865,5.160941175,5.094472014,5.062889252,5.279257781,5.19087884,5.406900156,5.2325431,5.352028845,5.370594243,5.275885827,5.241430897,5.398932599,5.17706755,5.417074099,5.466581035,5.408577068,5.254503292,5.340110796,5.326112047,5.426262941,5.252373449,5.302310882,5.262569772,5.304348863,5.217356937,5.666935157,5.394854679,5.485982608,5.469483838,5.426291221,5.295621669,5.366372325,5.351425319,5.469542413,5.325109847,6.436975168,5.211665482
5.361192607,5.351420404,5.288481071,5.279968368,5.332993171,5.234135904,5.340380455,5.196980795,5.341128648,5.290375581,5.330974662,5.345349519,5.347866167,5.250202956,5.311465507,5.558149329,5.147470673,5.044642105,5.323808081,5.21217262,5.069122287,5.068898339,5.17271542,5.059337936,5.198317172,5.303780509,5.239386352,5.075670726,5.202420981,5.04164369,5.235190324,4.993713197,5.390374318,5.245316285,5.180700557,5.206317303,5.262080614,5.221949748,5.334303894,5.276216412,5.297979072,5.117174867,5.393785396,5.335657451,5.327516848,5.236303995,5.24772854,5.12464239,4.990035049,4.949832524,4.960247212,4.884361575,5.131085994,4.909681134,5.113961275,4.989742487,5.085115411,5.002188476,5.084672065,5.023244732,5.04188485,5.015312043,5.09017368,5.171786479,5.376049306,5.150135463,5.305850051,5.301800668,5.287074558,5.188121429,5.354703556,5.133766025,5.329666322,5.412146811,5.299709342,5.151153003,5.242853663,5.259101869,5.446027066,5.182041801,5.298953834,5.214896177,5.199032491,5.242492377,5.502376905,5.346131388,5.427586759,5.418647669,5.330908419,5.268714367,5.386919593,5.315224675,5.309856973,5.258369834,5.610612694,5.14445272
8.391763326,8.216351046,8.5160055,7.758719133,7.834689525,8.371159475,7.521245096,7.197510054,8.020679591,7.943218669,8.335151802,9.026444811,7.474130878,7.781609109,7.681272417,8.393179817,7.599035368,8.00411092,8.601322443,7.633774341,8.061062775,6.893589287,6.618201282,7.775872085,6.2602143,7.103925536,8.200631742,8.058377558,8.247614389,8.71286595,8.232936183,6.754387794,6.651035421,7.440086769,7.661108804,8.054220067,7.898210662,8.44795734,8.032121516,7.637117124,8.083392496,8.052660011,8.518387647,8.48900323,7.166509987,7.094153184,6.563114001,8.093379699,6.738034648,6.566125769,7.021004634,6.157969932,5.845818631,6.237332107,6.928295422,6.771828313,7.671265688,5.59250741,6.435799108,6.389765289,7.37742769,6.904501459,6.021940031,6.643334203,6.671108523,5.864447585,7.556173491,6.588336688,6.469294205,6.163489012,7.111315058,6.299337979,6.865910926,6.892203648,6.681969159,7.230140945,7.252937777,6.985964874,6.342126195,6.851884496,6.470713907,5.872571663,5.480641461,6.648342497,6.85098434,6.519060134,7.202902162,6.598709098,6.931545048,7.751870694,6.703342517,6.011733227,7.365833177,6.891868603,8.270805274,7.457203806
5.380156208,5.521957997,5.34391717,5.371224254,5.387792982,5.250147716,5.489706239,5.253193606,5.436206232,5.376608174,5.35260015,5.436669188,5.446808363,5.377632434,5.444830142,5.522198669,5.321160353,5.366716949,5.517132341,5.172437068,5.17222033,5.117981629,5.235717394,5.06349697,5.258285359,5.464752375,5.245673915,5.200971163,5.277480357,5.181030291,5.260027758,5.221785642,5.516844696,5.283315698,5.412797745,5.303231726,5.307962631,5.357942834,5.310650578,5.332839235,5.411775123,5.22904237,5.610797097,5.307685094,5.409645558,5.264364522,5.322264091,5.161638133,5.119733087,5.037227411,5.082385388,4.93558595,5.140067482,4.990362833,5.188264197,5.091143129,5.129375506,5.25879281,5.198949127,5.139596249,5.062010357,5.094369057,5.278480856,5.181918368,5.373677485,5.189344635,5.239030016,5.382580191,5.303992804,5.230390768,5.424327093,5.20000409,5.513749895,5.475783375,5.551274998,5.284586574,5.356715821,5.325915366,5.450243736,5.19999509,5.287092564,5.408715022,5.676736865,5.365852259,5.779164824,5.439650385,5.4836281,5.589746666,5.437612908,5.485293743,5.396093173,5.32702144,5.574129041,5.374432312,5.943062022,5.299015214
6.015475147,6.139853525,6.007686282,5.949211742,5.956516818,5.795847727,6.181379692,6.029569719,6.336450855,6.036539358,5.911200516,6.11440965,6.401272476,5.997357306,6.317213621,6.723363315,6.141465703,6.24900557,6.296689327,5.847506365,5.659424631,5.843989212,5.978008582,5.678074676,5.777479142,5.890979743,6.316370266,6.215936668,6.45187429,5.90515441,5.851546679,5.802296868,5.996385888,5.849153305,6.078931963,6.394265284,6.163209891,6.267315806,5.930359054,6.132104024,5.976465463,6.056648206,7.057392625,6.003736804,6.162081567,5.923194867,5.688792661,5.854173314,5.39357935,5.473413937,5.574559465,5.133461004,5.539457455,5.463915359,5.727064843,5.416871494,5.51317819,5.515149728,5.633603882,5.596002466,5.755018774,5.458911054,5.665123769,5.566438755,5.869189384,5.435065937,6.053907569,5.710855809,6.202177318,5.69888989,5.793719122,5.544293987,6.338827607,5.996233201,5.846980282,5.586274099,5.713933008,5.833163681,5.747673286,5.614008471,5.864136549,5.697980402,6.158921691,5.865366231,6.109364328,5.891949363,5.866483389,5.825671931,5.956357693,5.953334056,5.715697612,5.505638025,5.805593628,5.871825256,7.083893166,6.452931863
5.906839953,6.522578096,5.877685381,5.966180792,5.932919602,5.775465993,5.860831372,5.627933333,5.863956581,5.819679477,5.900694428,5.816991723,5.95404612,5.877581701,5.856905999,6.224589428,5.85551764,5.810312134,6.04673241,5.717112864,5.689442897,5.695880179,5.858035451,5.545643264,5.791888985,6.12904327,5.914214609,5.801820725,5.784263727,5.643679247,5.824958328,5.724836473,6.25698185,5.703468639,5.940255009,5.662719525,5.70000313,5.84610499,5.844399595,5.827202678,5.991744445,5.757209973,6.197757686,5.896120316,5.9166669,5.79573278,5.810594852,5.690940891,5.669839318,5.581474231,5.564716385,5.3957644,5.633363682,5.560307823,5.799256735,5.61404778,5.649773458,5.742662978,5.861038469,5.704261916,5.553213049,5.670514931,5.935234874,5.650162728,5.864847314,5.608465409,5.770583635,5.780458499,5.837096092,5.692532063,5.881791481,5.554247858,6.211457919,6.056982493,6.140769659,5.637880762,5.729292707,5.863083359,5.901105512,5.732877373,5.821412636,5.832045135,6.796737447,6.002663835,6.31236763,5.814598317,5.929836701,6.106175464,5.857811749,6.008568939,5.953488498,5.768557424,5.988500852,5.739642871,6.194382785,6.020004114
5.388685522,5.380234344,5.38898945,5.25701078,5.326184639,5.170876666,5.3242617,5.165081822,5.404462545,5.327191817,5.344552108,5.358528812,5.410771207,5.294861325,5.297675707,5.621597614,5.225521623,5.088966203,5.302521234,5.16250437,5.120470387,5.047949241,5.178124261,5.108976122,5.239399782,5.204575545,5.192335858,5.114907843,5.205970379,5.111724986,5.247594425,5.043896194,5.402663091,5.220805722,5.232270182,5.223914909,5.249659581,5.198770009,5.32817171,5.275004123,5.312950684,5.141295704,5.380463574,5.270379435,5.321154207,5.235116235,5.249576374,5.087846354,5.039573683,4.998731159,5.000569242,4.90566468,5.123668439,4.925983451,5.096849766,4.995863596,5.084932632,5.010339401,5.110283038,5.106727476,5.117790215,5.085541123,5.165820439,5.169888965,5.332347673,5.197282338,5.270985926,5.387475433,5.293341903,5.194556113,5.401482409,5.169489256,5.311601858,5.400490003,5.34116176,5.219992229,5.29256818,5.318572989,5.410490256,5.224261067,5.25103882,5.251485141,5.375818806,5.254553734,5.62449751,5.395907612,5.454864347,5.420129784,5.421463399,5.337309577,5.38663786,5.311334487,5.377419713,5.270921307,5.846574994,5.20576757
